symbol,companyName,companyNameEng,shortName,foundDate,phone,email,vnAddress,website,industryName,floor,listedDate,vnSummary
AAA,Công ty cổ phần Nhựa An Phát Xanh,An Phat Bioplastics Joint Stock Company,Nhựa An Phát Xanh,2007-03-09,+84 (220) 3755998,anphat@anphatplastic.com,"Lô CN11+CN12, cụm Công nghiệp An Đồng, thị trấn Nam Sách, huyện Nam Sách, Hải Dương, Việt Nam",www.anphatplastic.com,Bao bì & đóng gói,HOSE,2016-11-25,"
Công ty Cổ phần Nhựa An Phát Xanh (AAA) có tiền thân là Công ty TNHH Anh Hai Duy được thành lập vào năm 2002. Công ty hoạt động chính trong lĩnh vực sản xuất các loại bao bì nhựa. Công ty là doanh nghiệp có quy mô lớn nhất trong ngành với 07 nhà máy sản xuất bao bì và 1 nhà máy sản xuất phụ gia CaCO3. Tổng công suất hiện tại của AAA đạt hơn 8.000 tấn/tháng. AAA được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ cuối năm 2016.
"
AAM,Công ty Cổ phần Thủy sản Mekong,MekongFisheries Joint Stock Company,Thủy sản Mekong,2002-02-26,+84 (292) 3841294,mkf@hcm.vnn.vn,"Lô 24 Khu Công nghiệp Trà Nóc, phường Trà Nóc, quận Bình Thủy, Cần Thơ, Việt Nam",http://www.mekongfish.vn,Nông sản và thủy hải sản,HOSE,2009-09-24,"
Công ty Cổ Phần Thủy Sản Mê Kông (AAM) có tiền thân là Xí nghiệp Rau quả đông lạnh xuất khẩu Hậu Giang được thành lập vào năm 1979. Từ năm 2002, Công ty chính thức hoạt động theo mô hình công ty cổ phần. AAM là doanh nghiệp hoạt động trong lĩnh vực kinh doanh, chế biến xuất khẩu nông sản, thủy sản ở khu vực Đồng Bằng Sông Cửu Long - một khu vực có thế mạnh về nuôi trồng và kinh doanh nông thủy sản của cả nước hiện nay với các sản phẩm chính là cá tra fillet (có tổng công suất chế biến 9.000 tấn/năm), bạch tuộc (có tổng công suất chế biến 1.000 tấn/năm), mực cá đuối đông lạnh xuất khẩu và thủy sản khác xuất khẩu. Công ty hiện có 1 nhà máy với 3 phân xưởng chế biến. Hiện tại Thủy sản Mekong đứng ở vị trí thứ 15 trong số 168 Công ty hoạt động trong lĩnh vực chế biến thủy sản. AAM được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2009. "
AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,TIEN SON THANH HOA JOINT STOCK COMPANY,Tiên Sơn Thanh Hóa,2014-03-10,+84 (237) 3770304,tiensonth@gmail.com,"Số 09 khu công nghiệp Bắc Sơn Bỉm Sơn, phường Bắc Sơn, thị xã Bỉm Sơn, Thanh Hóa, Việt Nam",www.tiensonco.com,"Đồ may mặc, trang sức, phụ kiện",HOSE,2021-03-24,"Công ty Cổ phần Tiên Sơn Thanh Hóa tiền thân là Công ty Tiên Sơn - TNHH, thành lập ngày 22 tháng 7 năm 1993. Ban đầu vốn điều lệ của Công ty chỉ có 550 triệu và 10 lao động với hoạt động sản xuất kinh doanh nhỏ lẻ như: Mua xi măng thu vét, sắt thép, phế liệu, nhựa phế thải và sản xuất gạch. Sau hơn 25 năm phát triển, hiện nay công ty đã sở hữu số vốn điều lệ lên đến 160 tỷ đồng"
AAV,Công ty cổ phần Việt Tiên Sơn Địa ốc,Viet Tien Son Real Estate Holding Company,Việt Tiên Sơn Địa ốc,2010-04-12,+84 (220) 6266066,cbtt@viettienson.com,"Toà nhà Việt Tiên Sơn, khu dân cư Phía Đông đường Yết Kiêu, phường Cộng Hoà, TP Chí Linh, Hải Dương, Việt Nam",http://www.viettienson.com,Xây dựng công trình,HNX,2018-06-25,"Công ty Cổ phần Việt Tiên Sơn Địa Ốc (AAV) được thành lập vào năm 2010. Công ty hoạt động trong lĩnh vực đầu tư xây dựng và kinh doanh bất động sản, kinh doanh thực phẩm đông lạnh, du lịch lữ hành và sản xuất kinh doanh thuốc đông nam dược, thực phẩm chức năng. AAV trở thành công ty đại chúng từ năm 2017. AAV đã và đang tham gia đầu tư phát triển bao gồm Dự án Dân cư Phía đông đường Yết Kiêu thị xã Chí Linh với diện tích đất quy hoạch 199.559,08m2, Khu chung cư và nhà ở tại phường Việt Hòa, thành phố Hải Dương, Dự án cụm dân cư đô thị cạnh khu sinh thái Âu Cơ thành phố Hải Dương với diện tích đất quy hoạch 8.224,7 m2, Dự án Côn Sơn Resort với quy mô khoảng 90,68 ha. Bên cạnh đó, Công ty bán buôn hàng thực phẩm đông lạnh cho 03 đối tác chính, bao gồm Công ty TNHH Xuất nhập Khẩu An Bình, Công ty TNHH MTV Hà Thành - Chi nhánh Quảng Ninh và Công ty TNHH MTV Lộc Nguyên Phan. AAV được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ năm 2018."
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Binh Thuan Agriculture Services JSC,Nông nghiệp Bình Thuận,2004-05-11,+84 (252) 3816823,dvnnbinhthuan@gmail.com,"Số 03 Nguyễn Du, Phường Đức Thắng, Thành phố Phan Thiết, Bình Thuận, Việt Nam",www.bitagco.com,Sản phẩm sinh hóa,HOSE,2020-03-18,
ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,Bentre Aquaproduct Import And Export Joint Stock Company,Thủy sản Bến Tre,2003-12-01,+84 (275) 3860265,abt@aquatexbentre.com,"Ấp 9, Xã Tân Thạch, Huyện Châu Thành, Bến Tre, Việt Nam",www.aquatexbentre.com,Nông sản và thủy hải sản,HOSE,2021-09-06,"Công ty CP XNK Thủy sản Bến tre tiền thân là Xí Nghiệp Đông Lạnh thành lập năm 1977. Năm 2004 chuyển sang hoạt động theo mô hình cổ phẩn. Cổ phiếu của công ty niêm yết tại HOSE vào năm 2006. Hoạt động chính của Công ty là chế biến và xuất nhập khẩu các loại thủy sản mang thương hiệu AQUATEX BENTRE. Trong đó 2 loại sản phẩm chính là nghêu và cá tra chiếm trên 90% doanh thu. Công ty hiện đứng đầu cả nước về xuất khẩu nghêu, đứng thứ 15 trong danh sách 263 các doanh nghiệp xuất khẩu cá tra-basa, đứng thứ 36 trong danh sách 100 doanh nghiệp xuất khẩu lớn nhất Việt Nam. Công ty có diện tích vùng nuôi lên tới 60 ha. Sản phẩm của công ty xuất khẩu sang thị trường các nước EU, Mỹ, Nhật, Đài Loan, Châu Phi, Trung Đông, Nam Mỹ. Công ty hiện có vùng nuôi cá tra đạt cấp chứng nhận GlobalGAP lớn nhất Châu Á với diện tích 43,5 ha cung cấp 15.000 tấn cá tra thịt/năm và là doanh nghiệp thứ 2 của Việt Nam và Thế giới được cấp chứng nhận GlobalGAP cho cá tra Pangasius."
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Asia Commercial Joint Stock Bank,Ngân hàng Á Châu,1993-06-04,+84 (28) 8334085,acb@acb.com.vn,"442 Nguyễn Thị Minh Khai, phường 5, quận 3, TP Hồ Chí Minh, Việt Nam",www.acb.com.vn,Ngân hàng,HOSE,2020-12-09,"
Ngân hàng Thương mại Cổ phần Á Châu (ACB) được thành lập năm 1993. Ngân hàng hoạt động trong lĩnh vực huy động, kinh doanh vốn và cung cấp các dịch vụ tài chính liên quan. Đến cuối năm 2019, tổng tài sản đạt 384.000 tỷ đồng, huy động vốn đạt 308.000 tỷ đồng; và tín dụng đạt 269.000 tỷ đồng; Chất lượng tín dụng được duy trì ổn định với tỷ lệ nợ xấu ở mức 0,54%; Lợi nhuận trước thuế sau trích lập dự phòng rủi ro đạt 7.516 tỷ đồng. ACB được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ cuối năm 2006."
ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,ACC Binh Duong Investment and Contstruction Joint Stock Company,Bình Dương ACC,2008-03-05,+84 (274) 3567200,becamexacc@gmail.com,"Lô D_3_CN, đường N7, khu công nghiệp Mỹ Phước, thị xã Bến Cát, Bình Dương, Việt Nam",http://www.becamexacc.com.vn,Vật liệu xây dựng,HOSE,2011-06-30,"Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC (ACC) có tiền thân là Xí nghiệp bê tông cốt thép và bê tông nhựa nóng trực thuộc Công ty Đầu tư và Phát triển Công nghiệp Becamex IDC được thành lập năm 2003. Hoạt động chính là sản xuất kinh doanh bê tông cốt thép, bê tông nhựa nóng, bê tông xi măng. Sản phẩm của công ty hầu hết đều được Công ty Đầu tư và Phát triển công nghiệp bao tiêu đầu ra. Vốn điều lệ hiện nay của công ty là 100 tỷ đồng. Năm 2009 công ty nhận chứng chỉ ISO 9001:2008 do Trung Tâm Chứng Nhận Phù Hợp Quacert và niêm yết cổ phiếu ACC lần đầu tiên trên sàn giao dịch Upcom và năm 2011 cổ phiếu ACC giao dịch chính thức trên HOSE."
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Cuulong Fish Joint Stock Company,XNK Thủy sản Cửu Long An Giang,2007-04-17,+84 (296) 3931000,clfish@vnn.vn,"90 Hùng Vương, Khóm Mỹ Thọ, phường Mỹ Quý, thành phố Long Xuyên, An Giang, Việt Nam",www.clfish.com,Nông sản và thủy hải sản,HOSE,2007-09-05,"
Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang được thành lập năm 2003, năm 2007 chuyển đổi sang hoạt động theo mô hình cổ phần và niêm yết cổ phiếu tại Hose. Hoạt động chính của công ty là chế biến và xuất khẩu thủy sản. Sản phẩm chủ đạo của ACL là cá ba tra đã qua chế biến bao gồm cá fillet trắng và cá tra IQF hồng. Nhà máy của ACL có công suất chế biến khoảng 250 tấn cá nguyên liệu/ngày tương đương khoảng 25.000 tấn cá thành phẩm/năm. Hiện tại 2 phân xưởng đang hoạt động trung bình khoảng 80% công suất thiết kế của nhà máy tương đương khoảng 200 tấn các nguyên liệu/ngày (62.400 tấn các nguyên liệu/năm), khoảng 22.000 tấn thành phẩm/năm. Sản phẩm của ACL được xuất khẩu sang hơn 40 quốc gia khác trên thế giới như Singapore, Malaysia, Indonesia, Philipin, Nhật, EU (Ba Lan, Pháp), Ageria, Mỹ, Úc và các Tiểu vương quốc Ả-rập Thống nhất. Trong đó, doanh thu cá tra fillet các loại chiếm tới 90% doanh thu trung bình hằng năm của Công ty. "
ACM,Công ty Cổ phần Tập đoàn khoáng sản Á Cường,A  CUONG  MINERAL  GROUP JOINT  STOCK COMPANY,K.sản Á Cường,2011-09-16,+84 (204) 2226669,tapdoanacuong@gmail.com,"Thôn Gốc Gạo, xã Cẩm Đàn, huyện Sơn Động, Bắc Giang, Việt Nam",http://acuonggroup.vn,Khai khoáng nói chung,HNX,2015-07-23,"Công ty Cổ phần Tập đoàn Khoáng Sản Á Cường (ACM) tiền thân là Công ty TNHH Tam Cường, được thành lập năm 1966. Lĩnh vực kinh doanh chính của Công ty là (i) khai thác và thu gom than cứng, than non; (ii) khai thác quặng kim loại; (iii) sản xuất than cốc, xi măng, vôi và thạch cao. Hiện nay Công ty được cấp phép khai thác 5 mỏ và cấp thêm 3 dự án khai thác mỏ khác tại tỉnh Bắc Giang trong đó có 7 mỏ đồng, bạc và 1 mỏ than. ACM được Niêm yết trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ năm 2015."
